,Nifty50_A
0,
1,0.5385271827643034
2,0.6206556427849064
3,-0.3165367099147165
4,-0.4428975374067168
5,0.504227606113461
6,-0.0013798013043908
7,-1.2492979487892295
8,-1.607424693998749
9,0.2533442642758121
10,0.0747986173875947
11,-0.259592456114277
12,-0.0334939217585428
13,1.3835596272891104
14,-0.5010133056202792
15,-0.2426151500523499
16,0.8475536495217595
17,0.1217007948279391
18,-0.2064957937718325
19,-0.4793750735026525
20,0.8944353775650393
21,0.4796470794268925
22,0.1110133600854323
23,-0.5081567654522168
24,-0.6548077100539507
25,-1.5280363270750108
26,-0.2452434906951683
27,-0.2595429795131609
28,-0.4185411302968234
29,-0.5102715735919028
30,0.8492348661665927
31,-0.7392168720069092
32,1.5728598702558605
33,0.6655523653653184
34,0.2425051133110978
35,-0.9282249829896784
36,-1.0045664706292978
37,-1.485103596805204
38,-0.6470680526332706
39,-0.4174683702319881
40,0.0792428754810448
41,0.6738129511343116
42,-0.6529243183920119
43,0.7010642983791948
44,0.2595375712406866
45,-0.4372693304802943
46,-0.7720933365472304
47,0.2398838488461452
48,-0.2001683861207581
49,0.7609856588760344
50,1.6337198870246317
51,0.2206297901755638
52,0.9138954818017851
53,0.2397874821206125
54,0.1414863186472326
55,0.557476832235948
56,0.5083967997071559
57,0.0875772476389924
58,-0.6795512115772895
59,-0.2637353398745157
60,-0.2344282980933254
61,0.0323474707342841
62,-0.0022607231296878
63,0.677197379250849
64,0.1456857729174032
65,0.2495862796685344
66,0.5695152704737305
67,0.8370013674055432
68,0.4575166897315297
69,-0.3185028296106451
70,0.9173717503337508
71,-1.023240679776971
72,1.0814123083734417
73,0.0084800484380975
74,0.2690820466433097
75,-0.0988234319518444
76,0.097287970705584
77,0.4589120624876264
78,-0.6106338840822789
79,-0.5728269488420423
80,-0.2849053583951044
81,0.4051372075492221
82,0.6097761825915704
83,0.1834600603050518
84,-0.3411794746021379
85,0.1955111686783306
86,0.972642089643383
87,0.7270525874449874
88,-0.533701956822874
89,-0.2516962459987004
90,0.2507044394261193
91,0.3223787573028991
92,0.0276994280798525
93,0.6849851604924906
94,-0.4904819297201657
95,-0.3818197220850972
96,0.2052404688772657
97,0.6163502405719834
98,0.212383418447204
99,-0.361490403500686
100,0.7379048318332471
101,-0.0494039094868892
102,0.2133763713315195
103,-0.4539443850398394
104,-0.5633615236065759
105,0.1376829980445082
106,0.6751903316345897
107,0.8221072879025959
108,1.143527466436289
109,0.6957092434146883
110,0.3930600098544401
111,0.5093217516818349
112,-0.848835445826257
113,0.1246630372113699
114,0.4313930032577628
115,-0.2834429503717706
116,0.1519230450158115
117,0.7765114931427508
118,0.7511013314932535
119,0.1917706789495987
120,0.424828233983554
121,0.7361412439730985
122,-1.171973709738905
123,-0.3679432261331938
124,0.0419370342819025
125,0.4964339092105474
126,-0.5986378269650428
127,-0.0704459825597192
128,0.5484562836908236
129,-0.1025119177090361
130,-1.0489749275624294
131,-0.7420685385378767
132,0.6983389302586795
133,0.4114401803555934
134,-0.1349735369015503
135,0.3152707788857123
136,-0.4556268362801097
137,-0.5874136257344675
138,0.0321695657833132
139,0.1566757078395264
140,-0.5124582584125403
141,-0.2845282658370029
142,0.4321520978066484
143,0.0146935589952379
144,0.2451519835443338
145,-0.2946964616334147
146,-0.6236153902634101
147,0.2089194239036418
148,0.1895758506856859
149,0.0248095783320412
150,-0.4840350732291387
151,0.9426710189529564
152,0.7182786187886148
153,0.1846772615939906
154,0.5915032361157424
155,0.4709190493602966
156,0.8900143387955861
157,-0.0157548255628969
158,0.3841345207183044
159,0.1649208271051305
160,0.4439613877036397
161,-0.2924316938864635
162,-1.1518249915104195
163,-0.7991939103939472
164,-0.3449417690663647
165,0.0015288003354818
166,-0.0500726045039701
167,0.263161919849586
168,-0.9783629792951
169,0.5877516917545123
170,-0.5578424591172859
171,-0.4744307239326617
172,0.564158407294757
173,0.5512707366051472
174,-0.7181946727045974
175,0.9096802975948836
176,0.6170692128511401
177,-0.0875740943526826
178,-0.2169810043447406
179,-0.0977202692402867
