Date,Gold,Nifty50,Gold_Return,Nifty50_Return
13-01-2023,1918.400024,17956.59961,,
17-01-2023,1907.199951,18053.30078,-0.5838236478253878,0.5385271827643034
18-01-2023,1904.400024,18165.34961,-0.1468082567080531,0.6206556427849064
19-01-2023,1922.099976,18107.84961,0.9294240588604286,-0.3165367099147165
20-01-2023,1926.400024,18027.65039,0.22371614659444372,-0.4428975374067168
23-01-2023,1927.099976,18118.55078,0.03633471715529524,0.504227606113461
24-01-2023,1933.900024,18118.30078,0.35286430827083937,-0.0013798013043908597
25-01-2023,1941.199951,17891.94922,0.3774717880659084,-1.2492979487892297
27-01-2023,1928.599976,17604.34961,-0.6490817699387086,-1.607424693998749
30-01-2023,1922.900024,17648.94922,-0.29554869184545973,0.25334426427581214
31-01-2023,1929.5,17662.15039,0.34323032490637395,0.07479861738759475
01-02-2023,1927.800049,17616.30078,-0.08810318735423817,-0.25959245611427706
02-02-2023,1916.300049,17610.40039,-0.5965348950979332,-0.03349392175854282
03-02-2023,1862.900024,17854.05078,-2.7866212823960512,1.3835596272891104
06-02-2023,1866.199951,17764.59961,0.17713924298066175,-0.5010133056202792
07-02-2023,1871.699951,17721.5,0.2947165440151611,-0.2426151500523499
08-02-2023,1877.400024,17871.69922,0.30453989150101,0.8475536495217595
09-02-2023,1866.199951,17893.44922,-0.5965736048163528,0.12170079482793916
10-02-2023,1862.800049,17856.5,-0.18218315771459936,-0.20649579377183258
13-02-2023,1851.900024,17770.90039,-0.5851419751599973,-0.4793750735026525
14-02-2023,1854.0,17929.84961,0.11339575424078596,0.8944353775650393
15-02-2023,1834.199951,18015.84961,-1.0679638079827414,0.47964707942689255
16-02-2023,1842.0,18035.84961,0.42525619934443704,0.11101336008543239
17-02-2023,1840.400024,17944.19922,-0.08686080347448666,-0.5081567654522168
21-02-2023,1833.0,17826.69922,-0.40208780175499115,-0.6548077100539507
22-02-2023,1832.0,17554.30078,-0.054555373704312515,-1.5280363270750108
23-02-2023,1818.0,17511.25,-0.7641921397379958,-0.24524349069516838
24-02-2023,1808.800049,17465.80078,-0.5060479097909854,-0.25954297951316097
27-02-2023,1817.0,17392.69922,0.4533365091698993,-0.4185411302968234
28-02-2023,1828.900024,17303.94922,0.6549270225646664,-0.5102715735919028
01-03-2023,1837.699951,17450.90039,0.4811595431418736,0.8492348661665927
02-03-2023,1833.5,17321.90039,-0.2285438924735539,-0.7392168720069092
03-03-2023,1847.699951,17594.34961,0.7744723752386218,1.5728598702558605
06-03-2023,1847.900024,17711.44922,0.010828219153857788,0.6655523653653184
08-03-2023,1812.699951,17754.40039,-1.9048689075616299,0.2425051133110978
09-03-2023,1829.300049,17589.59961,0.9157664505282437,-0.9282249829896783
10-03-2023,1862.0,17412.90039,1.7875662889680566,-1.0045664706292978
13-03-2023,1911.699951,17154.30078,2.6691703007518885,-1.485103596805204
14-03-2023,1906.199951,17043.30078,-0.28770205267426574,-0.6470680526332706
15-03-2023,1926.599976,16972.15039,1.0701933440559586,-0.41746837023198813
16-03-2023,1919.0,16985.59961,-0.3944760767504496,0.0792428754810448
17-03-2023,1969.800049,17100.05078,2.6472146430432497,0.6738129511343116
20-03-2023,1979.199951,16988.40039,0.47720082070117353,-0.6529243183920119
21-03-2023,1938.0,17107.5,-2.0816467269607397,0.7010642983791948
22-03-2023,1946.800049,17151.90039,0.454078895768828,0.25953757124068666
23-03-2023,1993.800049,17076.90039,2.4142181434678944,-0.43726933048029437
24-03-2023,1982.099976,16945.05078,-0.5868227862602438,-0.7720933365472304
27-03-2023,1952.400024,16985.69922,-1.4984083729185138,0.23988384884614522
28-03-2023,1972.400024,16951.69922,1.0243802373565147,-0.20016838612075816
29-03-2023,1966.099976,17080.69922,-0.3194102577236624,0.7609856588760344
31-03-2023,1969.0,17359.75,0.14750134964651718,1.6337198870246317
03-04-2023,1983.900024,17398.05078,0.7567305231081844,0.22062979017556383
05-04-2023,2020.900024,17557.05078,1.8650133349663145,0.9138954818017853
06-04-2023,2011.900024,17599.15039,-0.4453461276221926,0.23978748212061252
10-04-2023,1989.099976,17624.05078,-1.1332594924209793,0.1414863186472326
11-04-2023,2004.800049,17722.30078,0.7893053737586531,0.557476832235948
12-04-2023,2010.900024,17812.40039,0.30426849814986223,0.5083967997071559
13-04-2023,2041.300049,17828.0,1.5117621282598304,0.08757724763899244
17-04-2023,1994.199951,17706.84961,-2.307357902777374,-0.6795512115772895
18-04-2023,2007.400024,17660.15039,0.6619232436236189,-0.2637353398745157
19-04-2023,1995.199951,17618.75,-0.6077549493941792,-0.23442829809332544
20-04-2023,2007.599976,17624.44922,0.621492848061922,0.03234747073428412
21-04-2023,1979.5,17624.05078,-1.3996800326720016,-0.002260723129687836
24-04-2023,1989.099976,17743.40039,0.4849697398332964,0.677197379250849
25-04-2023,1994.0,17769.25,0.24634377653827144,0.14568577291740326
26-04-2023,1985.699951,17813.59961,-0.416251203610829,0.24958627966853442
27-04-2023,1989.900024,17915.05078,0.2115159945431211,0.5695152704737305
28-04-2023,1990.099976,18065.0,0.01004834401669985,0.8370013674055432
02-05-2023,2014.300049,18147.65039,1.2160229783350296,0.4575166897315297
03-05-2023,2028.599976,18089.84961,0.7099204017345428,-0.31850282961064513
04-05-2023,2048.0,18255.80078,0.9563257532050784,0.9173717503337508
05-05-2023,2017.400024,18069.0,-1.4941394531249985,-1.023240679776971
08-05-2023,2026.300049,18264.40039,0.4411631255140769,1.0814123083734417
09-05-2023,2036.199951,18265.94922,0.48857038743526093,0.008480048438097576
