Date,Gold,Nifty50
06-09-2023,1918.099976,19611.05078
07-09-2023,1917.5,19727.05078
08-09-2023,1918.400024,19819.94922
11-09-2023,1923.300049,19996.34961
12-09-2023,1911.300049,19993.19922
13-09-2023,1909.099976,20070
14-09-2023,1910,20103.09961
15-09-2023,1923.699951,20192.34961
18-09-2023,1931.5,20133.30078
20-09-2023,1945.599976,19901.40039
21-09-2023,1919.199951,19742.34961
22-09-2023,1925.400024,19674.25
25-09-2023,1916.599976,19674.55078
26-09-2023,1900.400024,19664.69922
27-09-2023,1871.599976,19716.44922
28-09-2023,1860.400024,19523.55078
29-09-2023,1848.099976,19638.30078
03-10-2023,1824.599976,19528.75
04-10-2023,1818.5,19436.09961
05-10-2023,1816.599976,19545.75
06-10-2023,1830.199951,19653.5
09-10-2023,1849.5,19512.34961
10-10-2023,1861,19689.84961
11-10-2023,1872.800049,19811.34961
12-10-2023,1869.300049,19794
13-10-2023,1927.400024,19751.05078
16-10-2023,1921.099976,19731.75
17-10-2023,1922.699951,19811.5
18-10-2023,1955.300049,19671.09961
19-10-2023,1968.400024,19624.69922
20-10-2023,1982.5,19542.65039
23-10-2023,1976.300049,19281.75
25-10-2023,1984.099976,19122.15039
26-10-2023,1987.199951,18857.25
27-10-2023,1988.599976,19047.25
30-10-2023,1996.199951,19140.90039
31-10-2023,1985.199951,19079.59961
01-11-2023,1978.800049,18989.15039
02-11-2023,1985.599976,19133.25
03-11-2023,1991.5,19230.59961
06-11-2023,1981.599976,19411.75
07-11-2023,1966.800049,19406.69922
08-11-2023,1951.5,19443.5
09-11-2023,1964.199951,19395.30078
10-11-2023,1932.599976,19425.34961
13-11-2023,1945.5,19443.55078
15-11-2023,1960.099976,19675.44922
16-11-2023,1983.900024,19765.19922
17-11-2023,1981.599976,19731.80078
20-11-2023,1977.699951,19694
21-11-2023,1999.300049,19783.40039
22-11-2023,1991.400024,19811.84961
23-11-2023,1991.5,19802
24-11-2023,2002.199951,19794.69922
28-11-2023,2039.699951,19889.69922
29-11-2023,2047.099976,20096.59961
30-11-2023,2038.099976,20133.15039
01-12-2023,2071,20267.90039
04-12-2023,2024.099976,20686.80078
05-12-2023,2018.5,20855.09961
06-12-2023,2030.5,20937.69922
07-12-2023,2029.900024,20901.15039
08-12-2023,1998.300049,20969.40039
11-12-2023,1978,20997.09961
12-12-2023,1977.800049,20906.40039
13-12-2023,1982.300049,20926.34961
14-12-2023,2030.199951,21182.69922
15-12-2023,2021.099976,21456.65039
18-12-2023,2026.300049,21418.65039
19-12-2023,2038.400024,21453.09961
20-12-2023,2034.5,21150.15039
