,Gold_A
0,
1,-0.5838236478253878
2,-0.1468082567080531
3,0.9294240588604286
4,0.2237161465944437
5,0.0363347171552952
6,0.3528643082708393
7,0.3774717880659084
8,-0.6490817699387086
9,-0.2955486918454597
10,0.3432303249063739
11,-0.0881031873542381
12,-0.5965348950979332
13,-2.7866212823960512
14,0.1771392429806617
15,0.2947165440151611
16,0.30453989150101
17,-0.5965736048163528
18,-0.1821831577145993
19,-0.5851419751599973
20,0.1133957542407859
21,-1.0679638079827414
22,0.425256199344437
23,-0.0868608034744866
24,-0.4020878017549911
25,-0.0545553737043125
26,-0.7641921397379958
27,-0.5060479097909854
28,0.4533365091698993
29,0.6549270225646664
30,0.4811595431418736
31,-0.2285438924735539
32,0.7744723752386218
33,0.0108282191538577
34,-1.9048689075616296
35,0.9157664505282436
36,1.7875662889680566
37,2.6691703007518885
38,-0.2877020526742657
39,1.0701933440559586
40,-0.3944760767504496
41,2.6472146430432497
42,0.4772008207011735
43,-2.08164672696074
44,0.454078895768828
45,2.4142181434678944
46,-0.5868227862602438
47,-1.4984083729185138
48,1.0243802373565147
49,-0.3194102577236624
50,0.1475013496465171
51,0.7567305231081844
52,1.8650133349663145
53,-0.4453461276221926
54,-1.1332594924209791
55,0.7893053737586531
56,0.3042684981498622
57,1.5117621282598304
58,-2.307357902777374
59,0.6619232436236189
60,-0.6077549493941792
61,0.621492848061922
62,-1.3996800326720016
63,0.4849697398332964
64,0.2463437765382714
65,-0.416251203610829
66,0.2115159945431211
67,0.0100483440166998
68,1.2160229783350296
69,0.7099204017345428
70,0.9563257532050784
71,-1.4941394531249983
72,0.4411631255140769
73,0.4885703874352609
74,-0.2799308092115815
75,-0.7781358778625957
76,-0.0099246044008127
77,0.1737403822288374
78,-1.4667976214073342
79,-0.3872496935757419
80,-1.2217878325175957
81,1.1346767697418825
82,-0.1970941576073359
83,-0.1215325572437198
84,-0.4867154169128196
85,-1.003671923181204
86,0.0514641558515549
87,0.7149850404607028
88,0.3013291113381111
89,0.7179579320581553
90,-1.2942353892821057
91,0.2868252372035362
92,0.3830439223697635
93,-1.1600126685321732
94,1.075823623161254
95,-0.0712988906656941
96,-0.3516411258946195
97,-0.5472343237280852
98,0.5502454557265724
99,0.1278576145527399
100,0.0306453664819628
101,-1.1693231065850962
102,-0.1136631878067673
103,-1.06554065472948
104,0.3346068470725827
105,0.2396943909919624
106,-0.5042340930017541
107,-0.0888166666666689
108,0.4601750130478699
109,0.031230805657989
110,-0.1092769450770525
111,-0.5678279400020081
112,0.9168544270581336
113,-0.0622962844214147
114,0.3272752727272676
115,1.2892819017372714
116,0.1533585561366734
117,0.045938394370637
118,-0.3928346561032692
119,1.27022775533423
120,0.0151754505075762
121,-0.4652314032869808
122,-0.203221048642066
123,-0.2036348775756757
124,0.0918189539870883
125,0.3465699038365466
126,-1.1935598412080697
127,0.771049646085542
128,0.5151997488447302
129,-1.5123090078660195
130,-0.1700379802812679
131,-0.2787252984982946
132,0.3933734989647997
133,-0.3144966011280226
134,-0.4861662270493894
135,-0.4521569621390608
136,-0.0522084153424806
137,-0.078353530150188
138,-0.1202387982195962
139,-0.7589239077850807
140,-0.6328780207737306
141,0.1061514795115181
142,0.3817439738942108
143,0.16373395234619
144,1.1653646762451286
145,-0.0156397706541522
146,-0.3701373778212558
147,0.3558185382971368
148,0.9698094669818856
149,0.4027910663568335
150,-0.313742624402924
151,0.0825558786736291
152,-0.7011082408731273
153,-0.4205157930668113
154,-0.0312797042650081
155,0.0469373663624539
156,0.2554224842941321
157,-0.6239276084997414
158,-0.1151087188613342
159,0.0471438903836718
160,0.7172749214659824
161,0.4054711856672499
162,0.7300013461040589
163,-1.356909196425682
164,0.3230550832793444
165,-0.4570503734448894
166,-0.8452442973420959
167,-1.5154729339237338
168,-0.5984159085071439
169,-0.6611507117460724
170,-1.271576229921445
171,-0.3343185399669157
172,-0.1044830354687942
173,0.7486499603476915
174,1.0545322651470237
175,0.621789672884554
176,0.6340703385276703
177,-0.1868859412871626
178,3.1081139184199635
179,-0.3268676933460557
